dep,jour,hosp,rea,rad,dc
1,2020/3/18,4,0,2,0
1,2020/3/19,4,0,2,0
1,2020/3/20,4,0,2,0
1,2020/3/21,8,0,2,0
1,2020/3/22,16,2,4,0
1,2020/3/23,34,6,14,0
1,2020/3/24,44,6,22,0
1,2020/3/25,58,12,30,0
1,2020/3/26,66,12,34,4
1,2020/3/27,98,18,34,4
1,2020/3/28,106,24,40,6
1,2020/3/29,108,26,46,12
1,2020/3/30,130,37,48,19
1,2020/3/31,143,31,65,20
1,2020/4/1,182,55,82,24
1,2020/4/2,207,65,120,28
1,2020/4/3,197,61,144,34
1,2020/4/4,215,63,162,44
1,2020/4/5,221,59,168,48
1,2020/4/6,227,59,180,50
1,2020/4/7,235,63,190,54
1,2020/4/8,245,67,206,62
1,2020/4/9,246,64,220,70
1,2020/4/10,253,54,233,80
1,2020/4/11,233,58,259,84
1,2020/4/12,233,58,267,84
1,2020/4/13,237,58,273,88
1,2020/4/14,263,56,283,92
1,2020/4/15,273,44,308,104
1,2020/4/16,300,46,333,104
1,2020/4/17,298,47,349,109
1,2020/4/18,342,49,356,119
1,2020/4/19,340,47,360,119
1,2020/4/20,337,43,366,123
1,2020/4/21,335,46,386,127
1,2020/4/22,330,38,416,135
1,2020/4/23,325,40,434,143
2,2020/3/18,82,20,36,22
2,2020/3/19,86,30,66,38
2,2020/3/20,104,38,80,48
2,2020/3/21,122,40,98,50
2,2020/3/22,138,42,110,56
2,2020/3/23,181,46,124,60
2,2020/3/24,214,54,170,66
2,2020/3/25,230,64,174,68
2,2020/3/26,248,70,174,72
2,2020/3/27,264,70,180,74
2,2020/3/28,268,68,190,82
2,2020/3/29,271,68,192,84
2,2020/3/30,270,68,204,88
2,2020/3/31,286,74,215,101
2,2020/4/1,326,80,241,117
2,2020/4/2,371,76,295,133
2,2020/4/3,419,78,323,169
2,2020/4/4,445,80,358,187
2,2020/4/5,441,78,362,199
2,2020/4/6,445,72,372,211
2,2020/4/7,509,70,434,228
2,2020/4/8,519,78,458,236
2,2020/4/9,538,78,496,254
2,2020/4/10,558,88,524,270
2,2020/4/11,556,86,568,278
2,2020/4/12,564,88,572,282
2,2020/4/13,570,88,574,292
2,2020/4/14,556,90,590,302
2,2020/4/15,558,94,638,308
2,2020/4/16,552,94,664,316
2,2020/4/17,552,88,688,328
2,2020/4/18,540,82,708,334
2,2020/4/19,548,82,710,336
2,2020/4/20,607,94,848,348
2,2020/4/21,590,80,1028,363
2,2020/4/22,558,80,1106,373
2,2020/4/23,562,80,1146,375
3,2020/3/18,8,0,2,0
3,2020/3/19,0,0,14,0
3,2020/3/20,2,0,20,0
3,2020/3/21,10,0,20,0
3,2020/3/22,10,0,20,0
3,2020/3/23,18,0,32,2
3,2020/3/24,18,0,32,2
3,2020/3/25,24,0,40,2
3,2020/3/26,29,1,52,4
3,2020/3/27,35,3,54,8
3,2020/3/28,43,3,62,8
3,2020/3/29,45,9,64,8
3,2020/3/30,59,15,77,8
3,2020/3/31,70,25,82,10
3,2020/4/1,74,25,96,10
3,2020/4/2,70,27,108,12
3,2020/4/3,78,25,108,14
3,2020/4/4,86,24,112,14
3,2020/4/5,88,32,118,16
3,2020/4/6,98,36,122,16
3,2020/4/7,102,38,130,16
3,2020/4/8,104,42,131,20
3,2020/4/9,112,44,132,20
3,2020/4/10,110,44,144,20
3,2020/4/11,119,44,147,24
3,2020/4/12,115,40,157,26
3,2020/4/13,115,40,159,26
3,2020/4/14,123,42,161,32
3,2020/4/15,117,40,169,34
3,2020/4/16,119,40,171,38
3,2020/4/17,121,38,173,38
3,2020/4/18,113,34,179,44
3,2020/4/19,113,36,179,44
3,2020/4/20,123,36,179,44
3,2020/4/21,111,36,197,44
3,2020/4/22,109,36,205,45
3,2020/4/23,107,32,213,45
4,2020/3/18,6,2,4,0
4,2020/3/19,6,2,6,0
4,2020/3/20,6,2,6,0
4,2020/3/21,8,2,6,0
4,2020/3/22,8,2,6,0
4,2020/3/23,8,2,6,0
4,2020/3/24,8,2,6,0
4,2020/3/25,16,2,32,0
4,2020/3/26,18,2,32,0
4,2020/3/27,22,2,36,0
4,2020/3/28,24,2,42,0
4,2020/3/29,24,2,42,0
4,2020/3/30,38,8,56,2
4,2020/3/31,40,8,61,4
4,2020/4/1,43,10,66,4
4,2020/4/2,49,10,90,6
4,2020/4/3,57,12,90,6
4,2020/4/4,57,10,90,6
4,2020/4/5,61,14,90,6
4,2020/4/6,69,10,98,8
4,2020/4/7,57,6,112,8
4,2020/4/8,59,6,116,8
4,2020/4/9,61,6,116,8
4,2020/4/10,69,8,120,8
4,2020/4/11,69,10,126,8
4,2020/4/12,67,10,126,10
4,2020/4/13,65,8,126,10
4,2020/4/14,66,8,142,10
4,2020/4/15,73,8,144,10
4,2020/4/16,67,6,148,12
4,2020/4/17,67,6,150,12
4,2020/4/18,67,6,152,12
4,2020/4/19,75,6,156,12
4,2020/4/20,87,4,159,12
4,2020/4/21,79,4,167,14
4,2020/4/22,62,4,181,14
4,2020/4/23,58,4,189,14
5,2020/3/18,16,2,18,0
5,2020/3/19,20,2,20,0
5,2020/3/20,26,2,20,0
5,2020/3/21,26,2,20,0
5,2020/3/22,28,2,22,0
5,2020/3/23,38,6,26,0
5,2020/3/24,38,8,32,2
5,2020/3/25,46,8,38,2
5,2020/3/26,58,12,40,2
5,2020/3/27,64,14,44,2
5,2020/3/28,64,14,52,2
5,2020/3/29,78,16,54,2
5,2020/3/30,76,12,66,2
5,2020/3/31,84,14,72,2
5,2020/4/1,104,22,72,2
5,2020/4/2,118,32,74,2
5,2020/4/3,128,32,74,2
5,2020/4/4,120,34,84,2
5,2020/4/5,118,34,90,2
5,2020/4/6,126,34,92,4
5,2020/4/7,128,34,96,4
5,2020/4/8,122,32,106,4
5,2020/4/9,108,30,122,4
5,2020/4/10,104,30,130,4
5,2020/4/11,100,30,136,4
5,2020/4/12,98,26,136,6
5,2020/4/13,98,26,140,6
5,2020/4/14,92,26,146,6
5,2020/4/15,88,24,156,8
5,2020/4/16,84,24,162,8
5,2020/4/17,84,22,162,10
5,2020/4/18,76,18,170,12
5,2020/4/19,76,18,170,12
5,2020/4/20,76,20,170,12
5,2020/4/21,82,18,174,12
5,2020/4/22,82,18,176,12
5,2020/4/23,82,16,178,12
6,2020/3/18,50,2,94,4
6,2020/3/19,65,9,96,4
6,2020/3/20,84,13,121,8
6,2020/3/21,90,13,121,12
6,2020/3/22,88,15,125,14
6,2020/3/23,130,25,125,16
6,2020/3/24,109,23,170,16
6,2020/3/25,148,33,184,18
6,2020/3/26,168,35,188,24
6,2020/3/27,196,43,196,24
6,2020/3/28,209,41,212,30
6,2020/3/29,223,51,230,34
6,2020/3/30,237,59,232,40
6,2020/3/31,263,67,245,46
6,2020/4/1,297,81,261,58
6,2020/4/2,360,119,279,64
6,2020/4/3,401,126,295,70
6,2020/4/4,428,149,330,76
6,2020/4/5,432,151,338,86
6,2020/4/6,459,154,355,93
6,2020/4/7,495,156,379,95
6,2020/4/8,506,168,411,110
6,2020/4/9,518,162,433,120
6,2020/4/10,546,160,457,124
6,2020/4/11,525,152,492,132
6,2020/4/12,531,154,492,134
6,2020/4/13,545,151,508,148
6,2020/4/14,552,151,534,160
6,2020/4/15,544,131,562,168
6,2020/4/16,544,121,588,174
6,2020/4/17,515,109,644,188
6,2020/4/18,541,106,647,192
6,2020/4/19,547,104,647,194
6,2020/4/20,541,95,675,212
6,2020/4/21,527,91,703,214
6,2020/4/22,541,92,729,218
6,2020/4/23,528,92,754,220
7,2020/3/18,22,2,0,0
7,2020/3/19,20,3,0,0
7,2020/3/20,28,5,6,2
7,2020/3/21,27,5,6,2
7,2020/3/22,39,5,6,2
7,2020/3/23,52,5,6,4
7,2020/3/24,67,7,36,6
7,2020/3/25,83,9,67,8
7,2020/3/26,91,11,77,10
7,2020/3/27,94,14,89,17
7,2020/3/28,106,14,128,18
7,2020/3/29,111,12,129,20
7,2020/3/30,122,12,153,22
7,2020/3/31,151,18,192,24
7,2020/4/1,149,18,211,32
7,2020/4/2,148,22,229,43
7,2020/4/3,173,28,238,45
7,2020/4/4,157,26,244,49
7,2020/4/5,169,26,250,49
7,2020/4/6,187,29,268,56
7,2020/4/7,200,35,285,59
7,2020/4/8,203,36,296,65
7,2020/4/9,203,42,316,71
7,2020/4/10,202,44,333,75
7,2020/4/11,196,48,345,75
7,2020/4/12,197,46,348,75
7,2020/4/13,205,44,350,81
7,2020/4/14,206,45,365,85
7,2020/4/15,198,45,387,85
7,2020/4/16,200,43,393,85
7,2020/4/17,204,43,411,91
7,2020/4/18,216,44,423,93
7,2020/4/19,218,44,423,93
7,2020/4/20,202,44,441,97
7,2020/4/21,204,50,451,99
7,2020/4/22,200,48,461,101
7,2020/4/23,191,46,478,105
8,2020/3/18,0,0,2,0
